year,Zip Code,Number of Crimes,Crime Rate
2012,78727,1913,1.4331949834429643
2012,78728,58,0.04345285365378564
2012,78729,1574,1.1792205457079068
2012,78730,154,0.11537481832212049
2012,78731,1587,1.1889599784234106
2012,78732,12,0.008990245583541858
2012,78733,9,0.0067426841876563936
2012,78734,4,0.0029967485278472854
2012,78735,925,0.6929980970646848
2012,78736,206,0.1543325491841352
2012,78737,14,0.0104886198474655
2012,78738,1,0.0007491871319618214
2012,78739,315,0.23599394656797376
2012,78741,12687,9.504937143199628
2012,78742,154,0.11537481832212049
2012,78744,7189,5.385906291673534
2012,78745,8352,6.257210926145132
2012,78746,1716,1.2856051184464856
2012,78747,821,0.6150826353406554
2012,78748,4104,3.0746639895713153
2012,78749,2389,1.7898080582567915
2012,78750,1623,1.2159307151740362
2012,78751,4082,3.0581818726681553
2012,78752,4873,3.6507888940499553
2012,78753,10766,8.065748662700969
2012,78754,1286,0.9634546517029022
2012,78756,963,0.721467208079234
2012,78757,3294,2.46782241268224
2012,78758,9167,6.867798438694017
2012,78759,3752,2.810950119120754
2013,78610,2,0.0015517829986654665
2013,78613,446,0.34604760870239903
2013,78617,982,0.7619254523447442
2013,78641,1,0.0007758914993327333
2013,78652,35,0.027156202476645668
2013,78653,82,0.06362310294528413
2013,78660,346,0.2684584587691257
2013,78664,2,0.0015517829986654665
2013,78681,2,0.0015517829986654665
2013,78701,9693,7.5207163030321835
2013,78702,7267,5.638403525650973
2013,78703,2013,1.561869588156792
2013,78704,8606,6.677322243257502
2013,78705,2677,2.077061543713727
2013,78712,20,0.015517829986654666
2013,78717,668,0.5182955215542658
2013,78719,679,0.5268303280469259
2013,78721,2817,2.1856863536203095
2013,78722,1067,0.8278762297880264
2013,78723,7217,5.5996089506843365
2013,78724,2243,1.740324633003321
2013,78725,213,0.1652648893578722
2013,78726,660,0.512088389559604
2013,78727,1910,1.4819527637255205
2013,78728,61,0.04732938145929673
2013,78729,1647,1.2778932994010117
2013,78730,185,0.14353992737655566
2013,78731,1549,1.2018559324664038
2013,78732,15,0.011638372489991
2013,78733,17,0.013190155488656468
2013,78734,5,0.0038794574966636666
2013,78735,820,0.6362310294528414
2013,78736,219,0.1699202383538686
2013,78737,12,0.0093106979919928
2013,78738,2,0.0015517829986654665
2013,78739,370,0.2870798547531113
2013,78741,11581,8.985599453772384
2013,78742,147,0.1140560504019118
2013,78744,7198,5.584867012197014
2013,78745,8189,6.353775488035753
2013,78746,1769,1.3725520623196052
2013,78747,856,0.6641631234288197
2013,78748,4000,3.103565997330933
2013,78749,2104,1.6324757145960707
2013,78750,1502,1.1653890319977653
2013,78751,4114,3.1920176282548645
2013,78752,4631,3.5931535334098883
2013,78753,10448,8.106514385028397
2013,78754,1352,1.0490053070978553
2013,78756,823,0.6385587039508396
2013,78757,3126,2.425436826914124
2013,78758,8692,6.7440489122001175
2013,78759,3802,2.949939480463052
2014,78610,6,0.005024578563472989
2014,78613,537,0.44969978143083245
2014,78617,1012,0.8474789177057774
2014,78652,51,0.042708917789520406
2014,78653,92,0.07704353797325249
2014,78660,389,0.3257601768651654
2014,78664,5,0.004187148802894157
2014,78681,6,0.005024578563472989
2014,78701,8802,7.371056752614874
2014,78702,6828,5.717970405232261
2014,78703,1979,1.6572734961855073
2014,78704,7635,6.393776222019378
2014,78705,2756,2.3079564201552594
2014,78712,22,0.018423454732734292
2014,78717,682,0.571127096714763
2014,78719,731,0.6121611549831257
2014,78721,2484,2.0801755252778173
2014,78722,976,0.8173314463249395
2014,78723,6563,5.496051518678871
2014,78724,2233,1.8699806553725304
2014,78725,224,0.18758426636965825
2014,78726,642,0.5376299062916098
2014,78727,1568,1.3130898645876077
2014,78728,37,0.030984901141416762
2014,78729,1458,1.2209725909239362
2014,78730,148,0.12393960456566705
2014,78731,1363,1.1414167636689474
2014,78732,14,0.01172401664810364
2014,78733,24,0.020098314253891955
2014,78734,7,0.00586200832405182
2014,78735,763,0.6389589073216484
2014,78736,204,0.17083567115808163
2014,78737,8,0.006699438084630652
2014,78738,1,0.0008374297605788315
2014,78739,346,0.2897506971602757
2014,78741,10701,8.961335867954075
2014,78742,164,0.13733848073492835
2014,78744,6910,5.786639645599726
2014,78745,7503,6.283235493622972
2014,78746,1351,1.1313676065420013
2014,78747,862,0.7218644536189528
2014,78748,4139,3.4661217790357837
2014,78749,1946,1.6296383140864061
2014,78750,1303,1.0911709780342174
2014,78751,3365,2.817951144347768
2014,78752,4093,3.4276000100491575
2014,78753,10007,8.380159614112365
2014,78754,1365,1.143091623190105
2014,78756,858,0.7185147345766374
2014,78757,2831,2.3707636521986717
2014,78758,8105,6.787368209491429
2014,78759,3314,2.7752422265582477
2015,78610,6,0.005193681021423934
2015,78613,568,0.49166847002813246
2015,78617,1139,0.9859337805669768
2015,78641,1,0.0008656135035706558
2015,78652,46,0.03981822116425016
2015,78653,103,0.08915819086777754
2015,78660,353,0.3055615667604415
2015,78664,7,0.00605929452499459
2015,78681,2,0.0017312270071413115
2015,78701,8558,7.407920363557671
2015,78702,5565,4.817139147370699
2015,78703,1933,1.6732309024020775
2015,78704,7710,6.673880112529755
2015,78705,2975,2.5752001731227008
2015,78712,18,0.015581043064271802
2015,78717,714,0.6180480415494483
2015,78719,936,0.8102142393421337
2015,78721,2111,1.827310106037654
2015,78722,919,0.7954988097814326
2015,78723,6265,5.423068599870158
2015,78724,2182,1.8887686647911708
2015,78725,190,0.1644665656784246
2015,78726,706,0.611123133520883
2015,78727,1715,1.4845271586236746
